Artist	Songtitle	Genre	Genre2		
Toto	Africa	Rock			
Toto	Child's Anthem	Rock			
Toto	Goin' Home	Rock			
Toto	Hold the Line	Rock			
Toto	Home Of The Brave	Rock			
Toto	I Won?t Hold You Back	Rock			
Toto	I?ll Be Over You	Rock			
Toto	Rosanna	Rock			
Toto	Spiritual Man	Rock			
Toto	St. George & The Dragon	Rock			
Toto	Stop Loving You	Rock			
Tracy Chapman	Fast Car				
Train	Drops of Jupiter	Rock			
U2	Desire	Rock			
U2	I Still Haven't Found What I'm Looking For	Rock			
U2	One	Rock			
U2	Pride (In The Name of Love)	Rock			
U2	Sunday Bloody Sunday	Rock			
U2	With Or Without You	Rock			
U2	When Love Comes To Town	Rock			
Van Halen	Jump	Rock			
Van Halen	When It's Love	Rock			
Vangelis	Chariots of Fire				
Vangelis	Conquest of Paradise				
Vertical Horizon	Im Still Here	Country			
Weekend	Blinding Lights				
Wham!	I'm Your Man				
Wham!	Last Christmas				
Wham!	The Edge of Heaven	Rock			
Whitesnake	Here I Go Again	Rock			
Whitesnake	Is This Love	Rock			
Whitney Houston	I Will Always Love You				
Zac Brown Band	Toes	Country			
ZZ Top	Gimme All Your Lovin	Rock			
